epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.644,3.13343,6.71945,3.37778,0.00812,0.07082,0.00583,0.00152,2.76818,5.62375,2.75867,0.000552788,0.000552788,0.000552788
2,902.474,2.57282,4.76571,2.40471,0.07353,0.11308,0.04556,0.01395,2.5011,3.88286,2.2971,0.00110297,0.00110297,0.00110297
3,1301.72,2.4732,3.72939,2.21623,0.07786,0.10001,0.04731,0.01426,2.47067,3.31006,2.28596,0.00164765,0.00164765,0.00164765
4,1691.73,2.36484,3.22352,2.08974,0.10215,0.10373,0.03551,0.00978,2.52794,3.22643,2.13949,0.00164225,0.00164225,0.00164225
5,2081.83,2.32632,2.9993,2.05033,0.24748,0.1373,0.08629,0.03129,2.33669,3.17051,2.20278,0.00163399,0.00163399,0.00163399
6,2470.79,2.23188,2.82064,1.96086,0.23183,0.2182,0.12091,0.04348,2.27925,3.30806,1.9883,0.00162574,0.00162574,0.00162574
7,2856.42,2.22894,2.7243,1.90528,0.22426,0.18594,0.10689,0.04045,2.25643,2.81515,1.92704,0.00161749,0.00161749,0.00161749
8,3258.66,2.16899,2.63694,1.85615,0.26616,0.2336,0.12227,0.04285,2.21489,3.08189,2.09097,0.00160924,0.00160924,0.00160924
9,3663.98,2.13864,2.52206,1.82691,0.27098,0.24034,0.14155,0.05984,2.1455,2.96104,1.87192,0.00160099,0.00160099,0.00160099
10,4064.38,2.10874,2.49056,1.809,0.29196,0.25121,0.15548,0.06701,2.12293,2.54206,1.87605,0.00159274,0.00159274,0.00159274
11,4460.79,2.05557,2.39672,1.76755,0.30072,0.25623,0.16423,0.06529,2.12654,2.64264,1.821,0.00158448,0.00158448,0.00158448
12,4857.3,2.05714,2.34481,1.72226,0.26188,0.23757,0.13735,0.05916,2.08704,2.61901,1.8532,0.00157623,0.00157623,0.00157623
13,5259.16,2.04523,2.31892,1.7024,0.31429,0.29134,0.17651,0.07715,2.07107,2.59683,1.78856,0.00156798,0.00156798,0.00156798
14,5656.67,2.01545,2.27288,1.6951,0.2927,0.30929,0.1789,0.08056,2.03186,2.78935,1.84834,0.00155973,0.00155973,0.00155973
15,6057.35,2.00451,2.25548,1.67921,0.31486,0.28289,0.17628,0.07613,2.05714,2.58225,1.75921,0.00155148,0.00155148,0.00155148
16,6460.66,2.00649,2.23416,1.65393,0.29678,0.29779,0.17214,0.071,2.09805,2.693,1.73572,0.00154323,0.00154323,0.00154323
17,6864.47,1.97241,2.2002,1.63371,0.32247,0.28741,0.17808,0.07533,2.07964,2.47613,1.75692,0.00153497,0.00153497,0.00153497
18,7266.32,1.97991,2.17652,1.62536,0.32951,0.33373,0.20208,0.09157,2.00648,2.53972,1.73423,0.00152672,0.00152672,0.00152672
19,7657,1.95587,2.13175,1.59622,0.35631,0.31452,0.2023,0.08072,2.10367,2.43884,1.71244,0.00151847,0.00151847,0.00151847
20,8054.17,1.95477,2.12512,1.60815,0.33892,0.32359,0.20388,0.09514,1.98795,2.50153,1.76632,0.00151022,0.00151022,0.00151022
21,8453.48,1.9344,2.08302,1.58578,0.33333,0.32757,0.2013,0.09006,2.04063,2.57377,1.72243,0.00150197,0.00150197,0.00150197
22,8855.74,1.9381,2.09233,1.58246,0.30428,0.28064,0.17178,0.07664,2.02944,2.49578,1.77761,0.00149372,0.00149372,0.00149372
23,9260.4,1.9143,2.09777,1.56963,0.33376,0.31233,0.19261,0.08612,2.00669,2.45992,1.70966,0.00148546,0.00148546,0.00148546
24,9666,1.92511,2.07357,1.56874,0.25044,0.2384,0.13725,0.05845,2.04841,2.76655,1.80657,0.00147721,0.00147721,0.00147721
25,10062.4,1.907,2.04611,1.57349,0.36069,0.31157,0.20462,0.09514,1.97299,2.38091,1.76386,0.00146896,0.00146896,0.00146896
26,10467,1.92674,2.03205,1.57461,0.35522,0.33093,0.21139,0.09499,1.99864,2.40536,1.66593,0.00146071,0.00146071,0.00146071
